SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
L&TFINANCE, N7, 31-Aug-2021,1060,1060,1099.99,1060,1099.99,1099.99,1088.56,7,0.08,3,7,100
L&TFINANCE, N8, 31-Aug-2021,1040.51,1039,1046,1039,1045,1045.13,1041.39,393,4.09,7,273,69.47
L&TFINANCE, NC, 31-Aug-2021,1100,1110.55,1110.55,1110.55,1110.55,1110.55,1110.55,4,0.04,1,4,100
L&TFINANCE, NI, 31-Aug-2021,1144,1144,1222.4,1144,1222.4,1222.4,1155.35,210,2.43,3,210,100
L&TFINANCE, NM, 31-Aug-2021,1245,1245,1245,1245,1245,1245,1245,10,0.12,1,10,100
L&TFINANCE, NO, 31-Aug-2021,1088,1072.09,1072.09,1072.09,1072.09,1072.09,1072.09,7,0.08,1,7,100
L&TFINANCE, NS, 31-Aug-2021,1251.2,1250,1250,1250,1250,1250,1250,20,0.25,2,20,100
L&TFINANCE, NU, 31-Aug-2021,1122.3,1122.3,1122.3,1122.3,1122.3,1122.3,1122.3,206,2.31,3,206,100
L&TFINANCE, NY, 31-Aug-2021,1062,1062,1065,1062,1065,1065,1064.54,65,0.69,4,65,100
L&TFINANCE, Y7, 31-Aug-2021,1066.47,1065.99,1065.99,1065.99,1065.99,1065.99,1065.99,300,3.2,23,300,100
LAGNAM, SM, 31-Aug-2021,39.55,39.2,39.2,39.15,39.15,39.15,39.18,6000,2.35,2,3000,50
LAKPRE, BZ, 31-Aug-2021,4.3,4.15,4.5,4.15,4.25,4.25,4.19,721,0.03,7, -, -
LALPATHLAB, EQ, 31-Aug-2021,3965.35,3980,4083,3933.1,4060,4051.55,4028.62,335279,13507.13,31862,51939,15.49
LAMBODHARA, BE, 31-Aug-2021,80.9,84.8,84.8,80.1,80.5,80.75,81.77,5330,4.36,115, -, -
LAOPALA, EQ, 31-Aug-2021,282.3,284.85,284.85,276.1,280,277.8,280.51,57247,160.59,2769,25783,45.04
LASA, EQ, 31-Aug-2021,79.55,79.8,79.8,77.4,77.65,78.1,78.16,69202,54.09,798,51013,73.72
LAURUSLABS, EQ, 31-Aug-2021,649.2,652.65,670.5,651.05,665.2,666.6,664.03,2836964,18838.29,46405,1017965,35.88
LAXMICOT, SM, 31-Aug-2021,22.15,21.25,22.8,21.2,22.8,22,21.63,24000,5.19,4,12000,50
LAXMIMACH, EQ, 31-Aug-2021,7909.8,7934.25,8119.95,7792.05,8013.3,7983.35,7963.54,6561,522.49,1923,2098,31.98
LCCINFOTEC, EQ, 31-Aug-2021,2.3,2.35,2.4,2.35,2.4,2.4,2.39,354353,8.47,157,280847,79.26
LEMONTREE, EQ, 31-Aug-2021,38.1,38.25,38.9,38.1,38.5,38.6,38.6,1082246,417.75,6039,376423,34.78
LEXUS, SM, 31-Aug-2021,10.8,10.45,10.45,10.4,10.4,10.4,10.43,2000,0.21,2,2000,100
LFIC, EQ, 31-Aug-2021,78.5,85,85,76.15,77.7,77.7,79.98,2790,2.23,92,1020,36.56
LGBBROSLTD, EQ, 31-Aug-2021,420.6,427.9,436,420.3,429.25,425.6,429.73,242670,1042.83,12869,124803,51.43
LGBFORGE, BE, 31-Aug-2021,6.55,6.85,6.85,6.7,6.85,6.85,6.85,78334,5.36,186, -, -
LGHL, SM, 31-Aug-2021,15.05,15,15,15,15,15,15,8000,1.2,1,8000,100
LIBAS, EQ, 31-Aug-2021,64.15,65.9,65.9,60,61.25,62,62.43,653741,408.14,4292,215144,32.91
LIBERTSHOE, EQ, 31-Aug-2021,175.15,174.8,177.65,169.5,170.05,171.25,174.49,304847,531.94,9499,150882,49.49
LICHSGFIN, EQ, 31-Aug-2021,397.4,398.4,406.5,394.7,401.6,402.25,400.97,5154473,20668.09,55022,1529489,29.67
LICNETFGSC, EQ, 31-Aug-2021,21.99,22.15,22.15,21.96,21.96,21.99,22.02,7839,1.73,88,6049,77.17
LICNETFN50, EQ, 31-Aug-2021,179.63,176.05,181.7,176,181.69,181.45,180.47,1910,3.45,118,1575,82.46
LICNETFSEN, EQ, 31-Aug-2021,608.8,615.35,615.35,600,611.5,612.34,608.62,343,2.09,155,152,44.31
LICNFNHGP, EQ, 31-Aug-2021,166.26,163.1,167.99,163.1,167.76,166.61,166.75,2090,3.49,171,1357,64.93
LIKHITHA, EQ, 31-Aug-2021,360.75,361,384,357.95,376,377.1,372.71,180766,673.72,10089,42965,23.77
LINCOLN, EQ, 31-Aug-2021,338.45,338.45,338.6,327.85,332,331.85,332.62,57989,192.88,3659,27891,48.1
LINCPEN, EQ, 31-Aug-2021,191.7,192.5,198,191.85,196,196.15,195.98,11043,21.64,122,10099,91.45
